cc_number|cc_expiry|cc_provider|cc_ccv|cc_card_type|client_id|token
3584567746588751|10/24|VISA 13 digit|1301|Gold|bfbe39be-3f0f-4329-9670-616d2622f0f8|99113f8f48a170f7ee0c24fe89bfea54e1d1b0bf0b95e69502e762cefed9954d
4865887582330847|03/24|VISA 16 digit|832|Gold|f6c6e899-ef93-40c6-acec-9efb936a2191|eebd74023f26f89ca0c81f0e7bfe5efef1b9348a0c30edfa4b5df65686f5252b
4598307569511628|02/22|Maestro|839|Platinum|c1d7ad66-5c3b-41b8-b248-056bb2b48149|590af47c070684ab67f6e279854076824c8092a656b61453ef5098d9e00715a6
2221450864020025|03/28|VISA 16 digit|419|Gold|3d290c14-7365-4b5f-a4e3-5285fd63ab0a|b7d54eb8153be7aeb91b70cc5bfd21ef503d88556594e5245d14c982972a0611
639024319811|05/16|Diners Club / Carte Blanche|081|Gold|d721f3d0-6b92-4af5-8c7c-228fbf61116f|9a552431e33dcba5f595852f0d783abf9ec2a692621d6db346c36adb70a22448
6539628238711209|10/14|American Express|643|Platinum|47f49efe-4a64-4ce4-999b-407a8a168c48|75feecfadcb7320a866d52c9013027ac9d131fbb2aa47937feb106899ec3b867
3514765097804307|03/25|VISA 16 digit|213|Classic|8aee94a1-2381-477e-9c74-c6df502e4585|80e74bf9155598dd5c4a98c79c1fef6ae87647c409be42bacb83842873798d1f
4143287509412|01/33|JCB 16 digit|1094|Classic|4f47ca2d-4f4b-4ab9-a7bf-227de77c7a26|0bcb42da5ba7fbc28e73cac7b7c14e6877e928bbe03a356fa332ff163a568e49
6572515234296129|12/17|Discover|220|Classic|d1ea1e9b-6416-437d-b80d-4ad67fe08a8b|600b16c8851b270647d9ea6b3b07b589c250c8094debe58e306eb3b94c2cec07
5553714431622832|10/32|VISA 13 digit|698|Classic|522d2966-2caf-49d6-a5f3-c9068196e8ef|f9ac299571bfc140a1c78dd94adec9f0a74c04eeea91472100b6a1c43705b055
213195312558647|02/23|VISA 16 digit|439|Gold|145c5b3b-9353-44e8-82b7-a2e387ecdd40|d77e83c0ecf5cd8d86a33f8d4a2abf5662283119f3e2cf353a8c1ca59df6744c
180015099760662|01/31|Discover|600|Gold|97ff6ec3-6cf8-477d-bf33-8b2c09e63d34|aa9dd236e48c9bc78e34b9873fde5643a47dd80a53b14a7456414dd3ac344299
4483113867889643|04/23|VISA 16 digit|622|Gold|6ad14d34-eb50-43dd-8198-d76e669a31bf|986af6ae844df40beff9f8f0a9b5ef81d7bd7b1a182bbd1cc05477422db8b2b6
3589222495004452|08/24|Discover|830|Platinum|c01c95f7-65c3-4aad-b6fb-7c491c200a5b|2109f6efa7b8ae5a35d25fd3e587b72dd9f453be143c49e283e1e6897669b11c
4302482732948259|04/21|Diners Club / Carte Blanche|034|Classic|68e81648-3cc2-4855-9b49-fed61d459cf5|ef0a1fc31a58d1d062b15677ab7562209108d8399a5bbc09e0e24dc4f347d469
6011041376385728|07/30|VISA 19 digit|655|Classic|3ac394b0-0baf-4154-8a4e-e66aeec0ffd5|e6f27371f9c606375a42c3fe158525114953b7c5d0362429775b1e773d9354d2
4290896843104508|08/25|Discover|993|Gold|63083dc4-58d7-4610-99df-ba32b1185beb|048bfb9e694369040cd4bf6a4465e8042b1d0d14476bc582d16bf2976d02829a
348480152265307|10/14|Maestro|014|Gold|74c1c8fe-200e-4eba-be32-ca135473a839|b3b7268ae08733dc3162f9a255fec5641474494f322950c658a0a53684cb5b2f
3525016664165871|08/22|JCB 16 digit|898|Platinum|fee8f831-634c-413f-b0f7-7832b01c4ef2|129efbf60ac905121257f62cc99ee3b37c4b295f45a7b307516a00ea4546e987
346711329080142|01/32|JCB 16 digit|358|Gold|36a63637-ada7-4dc0-93b1-6f171f06fc43|8e2bc130304137eb17bc483bdecf4a3b8ccc26f74ce92486635503d9ffa433c5
213154720524303|05/32|Maestro|173|Gold|c4ee4caf-93db-48b1-ab23-028ab3202001|957957d20acde17e2125bc09b499fe1bd9d65a688e69a89e92217ed696fc48e1
2720583106559255|11/32|JCB 16 digit|595|Gold|afb2c80b-4736-4dc2-9d4c-e768961ef4d3|c63c55b2a747d63477395356331dced585427474c179db9a870ea79a1aef9a35
6011278878874649|02/15|VISA 16 digit|714|Gold|8dda4ab0-1ffc-49b7-b55d-5d991a338f0b|b537e5cea917c3d0beded661ae382f3c02fd042b95d64762520254c8384167e8
6011067034552904|05/32|VISA 16 digit|111|Gold|b75322a6-d2ee-474e-ad97-44fc0ea55779|96bb17559d65fbca96bb128da3222b6c48c132f623c54c45258672d184d20187
3500848813661536|06/19|JCB 15 digit|569|Gold|a969fb98-1a9d-4b5a-9254-24e4ebdeb28f|d7d6b2cb857b23411e95f7b11396d3312bbe3e419766dab0af6ab27b0ea59a98
30519830010347|09/15|VISA 13 digit|575|Platinum|b38d77be-1f91-46d2-827e-1fac10365dbf|39de24c1b2ba6d38134c7de3d0f1c431f91e0b380c490cb1ae1f28fd80a742de
36300894589078|10/17|Maestro|290|Platinum|50743061-5d7a-44ab-80c8-1bd172744cc2|e429a74d8cd2c76c3c9ba92c006fa663b9063044f92dadd187686a12510f111c
4590256234031207|09/32|American Express|096|Gold|fa0f8acc-c572-4ea4-9adf-4eac07a432ab|ea12910de511d30a701bf4839529d4aa77b57c7f260bf71d8142180f13deba26
348326420495962|12/27|Diners Club / Carte Blanche|247|Platinum|56e17d9d-d67f-4c51-9ccd-160793790a48|63e8bd366371e4bc9448b873917cb3f664a30dfefa91141f6d7461e911933904
30192942235606|09/24|JCB 15 digit|087|Classic|85ae2436-bd0f-4eb9-924e-d5d31044b1e6|139d149f9429a5d03b37900c9eb79327b72a168c95c193d65806685794c4348f
4252261947985318|10/19|VISA 16 digit|2353|Platinum|ebbf057a-1fdf-47e8-a30e-e6cc8d834e0a|8f984fd079cd30767db733d4c69bed27de15424e89e6229816b70e186a9af8d1
30567877882912|08/14|VISA 19 digit|045|Gold|83befd4f-de9d-47fa-b963-d2adce5aca21|7f964e9f085a5daad7435060d65fafd847ce6226ad34e82792d115c4dd35a239
348674399582934|12/18|Mastercard|741|Gold|302a2cbc-296a-4ee6-ac64-92f5e2401a25|70ffe6af277a757898c714d4e8bc60e79d0a93a5b41f54e741b76d6fcba8e7a4
4619741707673137|04/27|VISA 16 digit|516|Gold|d51d61b6-cbb7-40d0-af15-d7d40f3b38d2|c393bb6f69b3783236203e332431da7d071cfdf62ad976c4bd2929509e77b672
213188279309609|08/20|Mastercard|828|Platinum|28f708a8-456f-4ab1-9739-67c9183404d5|86b72b62c2eb369bb18cc4ffe2dc2cb9905f490b5efd362230b6c8b6a4c0b284
4487207962561143|09/13|Mastercard|8385|Classic|73bc32a4-0bb9-4946-8727-cad3adad24fd|e9b737d33167261396fd4b9013dc07e3b13d0b8851cdf3d4310c3cd281a0aae8
213183088659831|07/16|Discover|523|Platinum|928c7d33-27fe-46b2-89b5-dbd9b461fc43|e4b48900be7403bac07aeb55859161172974a08c0cdbdeb6bee9fcd848f9fc08
3572492469554407|10/17|VISA 19 digit|144|Platinum|c4f11892-8f88-4701-8390-06a6f6028ed0|c42ab9ac02aba4d8b263ba1aaa8be98afb751e685dc7e0a4c877aa1993eaec65
3589091595371123|11/31|Discover|123|Classic|cec4bcb6-8679-4f0c-bd48-80f913b2e303|5edd17b4b4a2dd71e27d8c24f887873a9a5aff7748cfffcb63a1db7c3f48c1c1
4201204808845897636|06/26|Diners Club / Carte Blanche|109|Platinum|edfc380c-e1db-44eb-8686-572b88dc6d57|4f63091bc9d85a276ae467f1e02909a303186ae009e6982fbdb2cf4a66239c1f
4770616220790151|12/32|JCB 16 digit|191|Platinum|895b52a8-dca0-4053-adcd-b5b2dce4ff53|ea043d38c7794ff9e9b3931e03e8d7a316c80f84f36088e097f9d882ebadd2f3
4050549166768|06/16|Mastercard|117|Platinum|6cb56781-4f07-4e31-971a-a2e1ad8f4919|d0028aeb626052b5d28d3c10f1abd727d225b56944e4c891268c73797d74969f
4403741926735071|09/20|Maestro|275|Classic|46be7d19-444b-4b7c-99ad-b8e9e06a5345|b0b4094c52ec6cfbb0d49c7933c275e4bbd5fbcc2f2e03d16e0ca1cd86c96a18
4910399260538688|11/26|JCB 15 digit|550|Platinum|48889d15-6b13-4b99-b48a-6e214782dc5a|540f50c07ef7abfcf66f7b3675431215874561b44f561369739fa4bb30ee89a5
4731441830998039|11/14|Discover|176|Gold|6a6c9be8-07e1-469d-aa26-ff7843fa20fd|7e1b08146279ff83b44be353ec7bbb335884199577d1c57517b00029a058a592
4551869542029197|04/19|Mastercard|917|Gold|ccc330d0-39a2-47c0-9e47-b8f1024c1b65|e227c49d000c1994275127c159e3b7d272ae425f6f6b5ca75aef70dca17bf8d4
580972594445|08/14|VISA 19 digit|053|Classic|31899c7f-a776-415c-a56f-a3843aebbfac|e3150ccc75afba6f2b76a44ba89c7830fe837ae8a6b37c1f5723dfbd0829b2f2
30029267673633|11/14|American Express|581|Gold|ea467688-913e-42e7-93e9-da40889fed84|83a393fd0e2ac0455f8ae8a89a5bb6ca44427b595bcae7521e0628bd1a7457a8
676187465502|07/19|Mastercard|343|Classic|1ad08cae-57fe-4923-9510-ffb30bf87699|14537ce061dfc4cf4f2c083a2d92be634024aa300e368afc7e43c7b5cc687bb8
4167953159095|07/29|Diners Club / Carte Blanche|845|Platinum|597c1b32-b993-480a-b7df-f589664cd935|f77fb4626a4535a77bf2666b60459143b5e4ee2420f98c1a5300a2e8e95caad7
4012538455404|09/31|VISA 19 digit|332|Classic|9c3f24ec-d318-4a6f-8782-45fc96ea8b03|4dc4963de4243852fee67e683cf905e130a88099e89a8dcd4ada0ddaf36ed236
4758554591298700|03/19|VISA 13 digit|709|Gold|5300dbb3-43ea-484a-a3b5-d44f8ba9a3cd|ac5cae451baeddab527af9b3c4a2f17a8c5a537289fee4abdb436b62899a64d7
3592852383282078|11/13|JCB 15 digit|903|Platinum|09055f04-19ed-4cb9-b628-922809246ecb|dfc1ff57fd98cdf99e232b5ab4264ec7b7ea96684a05f4f285ba885fc79ed104
4787753406352|01/22|VISA 16 digit|788|Platinum|599eedc0-11dc-497c-bda0-f788a36b8c53|60c9917bf56ce47e25df85958c556b773d1c8ef3025353f1b7049f874c0d81df
6011630301077184|04/15|Discover|912|Classic|7447cbcc-c6f0-42f2-9494-b5a2228a0261|3dd7f012105d9adef5b7fae9cfa0da2f6263ccf92c15c87c606b7ffdc0446485
4839679546919705|12/28|VISA 13 digit|717|Gold|55d22462-e14f-451c-81b9-6622f395303f|83313067ee0263bf7b56d3b81b1add766e490b75ee0bc442714cf75e5fbe1d87
213146541980797|10/27|Discover|087|Classic|4c5cde2c-53fd-4f8e-941f-d8b41b383878|4b417c7c1508185b525079d9ba32b4bff7e4df0850f30e33acd760dfaac743be
4085933166444127052|09/21|American Express|456|Platinum|d11fb0d2-156c-49d3-9724-9cbe2023bd3d|cdeffbaf9d93171770c49f875affcb4187a06b58596370e336dd98aa05519d84
346410112197912|02/26|VISA 16 digit|610|Classic|a4164471-09f7-45f7-8c22-00272d2f5e45|40210574e2b9c8758e407efc6aa73cee4aff30c8a7aac143ea0eb30da466af12
4384504737887|12/27|VISA 16 digit|113|Platinum|96bf1119-e1bc-4014-b31a-aaff5f180052|556550419c98bb341b719b5ce199d4594c15ca573c613c5230cd454acf1a4b72
36067788481247|09/13|VISA 16 digit|440|Platinum|aa8fac64-ea7d-42d7-aa15-3a8baffc795a|9bea399641496cb65ce0e1a68db20a86f1e06e8b0e0d44cf84c2704f68c5deaf
30526734833286|11/24|VISA 19 digit|327|Classic|dbffbc0d-247c-4639-873d-02aa158d5274|f549b50b851c56ac23ca326bb9f1e55dbcfbf6ef5c91c8fe69dcf960eb69ecfa
372569786694111|03/22|JCB 16 digit|943|Classic|45f61d56-b647-4c79-9985-d1d525fe2f1d|5c6ad536e7e696af6da95169278794c0f5f9ff588aeba947cd1f2ad3a2dba121
4898928000570282|09/24|VISA 19 digit|886|Gold|cef8b41f-bbec-4f0f-8ab8-5b028a930055|226756da791cdea42f3e37adc69dd994f9b10850d9c2bcc408b1172ccec26eab
6510713130760315|12/18|VISA 16 digit|544|Platinum|a2f0c2d9-e027-4fa7-b115-07d5aa27ca42|8a4141b063c4a6009bb0c6bb9a30e244d97ff964675e3a8426a1c4ae7de8868a
3566302711707802|03/19|VISA 13 digit|632|Platinum|c00047d4-57ee-4d61-9e2c-062c0f3e8562|6dc7d6920cc0dc6d513c19f55ff47d04f0f9004d7ae3f05554a349a1d736485c
3508353272186226|08/32|VISA 16 digit|1400|Classic|19116607-75f4-43a6-b8be-9def70b18577|e5a6049764a1917ac282712ee2361c8c77ecf58476ea687d4fd91cc505a2d27e
346208507096966|02/32|Maestro|661|Gold|4c001564-3ff0-465d-bd56-135da176e1a3|71b6ac09e615dbec9fd31c43fc5d0006cfec3417392a33ffe2ee4119a99ea04b
4690096145599945|05/13|VISA 19 digit|214|Platinum|bff71d91-ba7b-44d2-bf27-a43f73571051|e44a55d074572160e99558583f7ac7eafbd3e1f33b583ddef8b84df862de1c3d
501834382373|01/21|Diners Club / Carte Blanche|046|Platinum|0e9e7416-a978-4124-8855-984c48f4993a|a862e28448be2604c488edd755b13c78a6f277188de53eba68b65135b631bc34
5106386306554994|08/16|JCB 16 digit|700|Platinum|45016ad9-515a-4cb8-a3c5-511efe47e0c7|984a01a3f28b61a22efd3549dd2b1f402ee3f539a229d237a3c2d2d0e2c698dd
376852241217215|05/24|VISA 13 digit|120|Classic|941d351d-131a-461d-9eb9-9e037d3fa1fe|3528187d6335e2e3474bf8905277db6062a3735fd8082164627a0ff582526cbb
501844828167|09/23|Discover|461|Gold|7a2422eb-8860-43e5-912c-5765c7b9e737|5c287a20ba604c4f6524100369b60783a15a2463b5875406612acfab36bb5e52
3565656362454167|01/20|JCB 16 digit|841|Classic|6c4801b0-bb0d-4f99-ac26-226e98697fcc|53f71830552996a6c139576491249408141d981f8cab189968431a549efcbe72
371621456124910|12/15|VISA 13 digit|419|Platinum|feff5977-181d-4f0e-9819-ebed50db49a4|0aa4b4e54a82d711da6bbf1c5cdcd6b870d3f95bbd2f6f9b4ba9d0b05b29866b
6011208430336316|08/17|VISA 16 digit|219|Classic|1413241f-3fa7-4b64-81ad-1dba7fa514b3|4fa659708b61545d8538946da9f4e2555251c5a9d5fa46ee77fc4dc50558a29c
6515795134855782|01/19|JCB 16 digit|2340|Classic|45e187ce-7c43-47a9-bd62-d8a3c2e414fe|f6c44d54dde17191773a57c35b1b337777e3c8c3727a7acccea35543608c9c19
4894815566668|04/27|Discover|0423|Platinum|f079e928-989f-4436-8e97-983b9d6a9275|c2fe38911b0a2f550785e4ec0f4ba2065aa05c4dde3280e7229f0ddd2c57fcaf
4598012749775|05/28|JCB 16 digit|755|Classic|d62b6fda-8768-4f1d-8070-d34ba8d2af59|65cf678a6bac2b06cd6034aa719937d673427f26fa5caa8dca12b862c638a74c
379097574303656|12/19|Maestro|547|Gold|de6974e0-bc2f-4030-99f3-2483a835b996|3fe7699414d7df38c25976a7e65b2767c396921925667a3357030508c2f4e764
584987469809|08/21|JCB 15 digit|849|Classic|39037ee2-06ec-4c40-9a4b-3fb4318e4a89|edf3442cf860b488b11a832554ff02ef575bbead76c9810d5204066f2f66d517
377057065848173|09/29|JCB 16 digit|238|Gold|bf1a91d3-d10b-4e74-8be4-c4ad9b64f669|a0f7de79729fb7179a883e78a8dc7145cdb1af53e1b7267942f4dba52dacdb5e
4015107884132513|03/19|Maestro|172|Gold|6c91326d-76de-4d6d-8a5e-a0ae50499fe8|d5d373c0ea0be0a7c1d791e94ff110d2c27e2a2cffbfe95fffde69f180d3a146
3536347334141522|02/30|JCB 16 digit|005|Classic|16f27207-9b0d-4266-8e7e-f3537db00944|6e056fd5a051fb7e28c3cf4653cd733ab0a6333f8bdfaf997ef89038c34000a5
3519101903552739|04/27|JCB 16 digit|9878|Classic|f84890cd-2423-450c-a51f-8342a7f80820|99b77f34b0f6e1f95a3a165c1b3b882421052eaa4323ff52cd9a708cb1ef7a42
6011503596145224|10/23|VISA 16 digit|541|Gold|78801d59-7585-4403-82b6-4c6bd093b3b0|7d59cd9059d2a04026db9f1d9c8cc515512906cae9c97dbca6c3abd0228c8fff
4903279681009528|12/15|VISA 16 digit|309|Platinum|c0697c84-e8c6-46e3-8938-1873c9b7b9de|549ea76af02b04e8be9b7332926dbf0579fffdaedc2b327e74916ad9cccbac36
38916788399957|01/25|Diners Club / Carte Blanche|543|Platinum|460f4498-f176-4afa-be32-26d9c13284ae|b61d91b3d75ce8b227b47f89a4e12cb5b619fef3aaae5150e7770816f62f6f70
4769877709566289|01/26|JCB 16 digit|664|Classic|8de60e71-93ff-4d22-960c-27108c0807d5|a9601d673dd235ffeda3e24ecd062a26e2b940214233888e3a4fed035f5e322a
349229799439778|12/24|American Express|420|Platinum|d6ab0a0d-4fda-4c4a-a7f5-d524bca1b963|49b5cc031dab239157b4184a3a599742a173ad4dd92309e13736457f5bdf587b
2226073045024230|09/17|Discover|140|Gold|0b136be1-c862-442b-8f50-c0fed3e88a64|5616eb5870f262e29bf289f006233382100b4bb95c088b63556e1a7273d0d76d
4237901834307023|11/30|VISA 16 digit|994|Classic|29d417b5-2def-41df-9f92-a6483eb15c88|78a1cd81a82030540eb8b609c667ac04acc741ee58e5c156ccc4f04cb197cd90
2231928143055068|04/16|JCB 15 digit|6302|Platinum|eb2d5219-9bae-4386-9752-9ffab96c9909|8a12c407d407a5c3b18980249c943f8e8d68e97d8723b583440f42405379c87b
3577874748833667|09/27|JCB 16 digit|741|Classic|e8d49d73-99b0-46df-863c-26dde3724e6c|54d6b564f9f950691a44c6c73cb57f7abae3e845a6a3e7555a2ff6be32333f4e
4651055891612668006|08/27|VISA 16 digit|585|Classic|2100a6a8-0cb7-4e7f-ab25-134e526d7b0d|a4f741bef41b36cb0d0bd3e733ada0e9f3a23d36bce5ec0a81edbac1b5a1e1f7
38364870408859|03/17|JCB 15 digit|044|Classic|dc1d9124-8193-48fd-9264-57fea8ae5859|b3b4ad1be9c5ddce4be7658ef0604ec0272535771b9ae361569298d9a45d1242
213106748576632|01/17|Discover|516|Platinum|4a744a9b-3fd9-4b79-af05-e1820bb79911|205d8433e7e7570369d7fb03088c44c0400ceddc1cfcd88ea8e3e131a6e69522
4639460595227|01/14|Maestro|406|Gold|576f141f-cf2d-4011-b66e-3cc900034286|08998efaa6c4b72c7556bfeac4c39d96130e518a518772a82063adf30ea17734
371299945465721|08/22|JCB 15 digit|657|Classic|960defe1-680a-4006-8e60-db75a416e2e7|a1e7ec9a319681191527235e13fce115fbe0b5a17e1736dd0c9092831c36a16b
